Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mKBB,mQS,mSVHLD,PTS,aPOS,Dollars,PlayerId
"Spencer Strider","ATL","SP",8.199999809265137,184.802,6.058151946958993,8.372994772825166,5.594169587385571,4.838505961118815,3.399322082127337,-1.6655512697328227,26.597593080683062,8.778744096319503,36.37633717700257,"27498"
"George Kirby","SEA","SP",36.869998931884766,191.482,1.6330273603058272,6.422008505978069,2.431852862714004,7.899314426627785,3.1453148164507705,-1.6655512697328227,19.86596670234363,8.778744096319503,29.644710798663137,"25436"
"Kevin Gausman","TOR","SP",27.799999237060547,193.298,3.134501217851442,5.550112908194947,4.067563232016595,4.853842767074072,3.377463139660367,-1.6655512697328227,19.3179319950646,8.778744096319503,29.096676091384104,"14107"
"Tarik Skubal","DET","SP",50.72999954223633,171.185,4.0790028264644596,4.575892796657576,3.030258503094291,4.192068907375197,2.752006972457696,-1.6655512697328227,16.963678736316396,8.778744096319503,26.7424228326359,"22267"
"Zack Wheeler","PHI","SP",26.329999923706055,197.442,2.456185325820526,4.664601289180658,3.1353371337781115,4.067054135523235,3.5096083494922383,-1.6655512697328227,16.167234964061944,8.778744096319503,25.94597906038145,"10310"
"Gerrit Cole","NYY","SP",13.930000305175781,200.133,0.36648239351442435,4.364191484746971,4.221400016736224,4.633032482745753,3.4433702942430635,-1.6655512697328227,15.362925402253612,8.778744096319503,25.14166949857312,"13125"
"Zach Eflin","TBR","SP",86.12999725341797,183.966,1.3365156755400553,4.227386763087434,2.1719756999797357,6.33212339253316,2.9007792239241796,-1.6655512697328227,15.303229485331743,8.778744096319503,25.081973581651248,"13774"
"Pablo Lopez","MIN","SP",37.470001220703125,193.266,2.646977619818096,3.3356397854918605,3.76202117377322,3.423700531924839,3.3289348651416604,-1.6655512697328227,14.831722706416851,8.778744096319503,24.610466802736354,"17085"
"Aaron Nola","PHI","SP",50.72999954223633,195.107,-0.5294857042855597,3.5775783444747176,3.221174893324039,5.4778222407737704,3.112842392814837,-1.6655512697328227,13.19438089736898,8.778744096319503,22.973124993688483,"16149"
"Tyler Glasnow","LAD","SP",39.66999816894531,154.066,2.493603004430393,3.92708958462745,2.7926634658910556,3.1456099222740987,2.1574599096243796,-1.6655512697328227,12.850874617114552,8.778744096319503,22.62961871343406,"14374"
"Logan Webb","SFG","SP",65.06999969482422,201.377,2.663531992496165,-0.8914750663164682,2.3098801297043114,3.0833516704293844,3.71668048112059,-1.6655512697328227,9.216417937701157,8.778744096319503,18.995162034020662,"17995"
"Logan Gilbert","SEA","SP",63.79999923706055,186.999,-1.0881353792792148,2.768235512264429,2.5008570817098543,3.682167950728787,2.658558789093548,-1.6655512697328227,8.85613268478458,8.778744096319503,18.634876781104083,"22250"
"Carlos Rodon","NYY","SP",167.07000732421875,166.277,-0.1982435835783488,2.985819707078677,3.050871230109955,1.7570990844390961,2.0868324025533402,-1.6655512697328227,8.016827570869898,8.778744096319503,17.795571667189403,"16137"
"Luis Castillo","SEA","SP",29.530000686645508,194.922,1.532817325949465,1.0315463899971125,3.364186918900643,0.13769431756723272,3.301092756897643,-1.6655512697328227,7.701786439579273,8.778744096319503,17.480530535898776,"15689"
"Joe Ryan","MIN","SP",82.93000030517578,178.561,-2.9919298727763777,2.672062436125115,2.999433875775429,3.6212973193196127,2.205687678165211,-1.6655512697328227,6.841000166876167,8.778744096319503,16.61974426319567,"21390"
"Corbin Burnes","MIL","SP",26,197.174,0.605118327493389,0.37448564600337886,3.9197878911177506,0.2198296221845783,3.321749101968422,-1.6655512697328227,6.775419319034697,8.778744096319503,16.554163415354203,"19361"
"Max Fried","ATL","SP",64.87000274658203,184.58,1.9705835391851607,-1.1232635827805417,2.1193870136249497,1.8026964052816543,2.992063076065998,-1.6655512697328227,6.095915181644398,8.778744096319503,15.874659277963902,"13743"
"Freddy Peralta","MIL","SP",54.66999816894531,165.354,0.7654683420369754,2.031486997342397,3.0220872713232865,-0.19884366104356138,2.1406826150008302,-1.6655512697328227,6.095330294927105,8.778744096319503,15.874074391246609,"18679"
"Edwin Diaz","NYM","RP",44,64,3.551764954892032,3.7807207807151886,-1.3800037186533194,1.7799932207636184,-2.3962344867203584,4.824203579784022,10.160444330781184,4.45688385552075,15.617328186301933,"14710"
"Chris Sale","ATL","SP",174.27000427246094,141.036,0.18174582195837635,2.154616195014249,1.5182337118080913,2.350936559827517,1.2954358594439912,-1.6655512697328227,5.8354168783194025,8.778744096319503,15.614160974638907,"10603"
"Yoshinobu Yamamoto","LAD","SP",53,183.708,-2.287339700514183,0.7751550763902462,3.1164240861657126,2.971018894005185,2.7477975948286804,-1.6655512697328227,5.657504681142818,8.778744096319503,15.436248777462321,"sa3023345"
"Framber Valdez","HOU","SP",62.20000076293945,195.497,4.172676274405714,-1.7100328880046969,3.038709503938257,-2.075680094218744,3.717101418883491,-1.6655512697328227,5.477222945271198,8.778744096319503,15.255967041590702,"17295"
"Zac Gallen","ARI","SP",36.79999923706055,196.31,-0.6709233456286788,-0.44525432766644624,3.247210532393965,1.7734621011898102,3.1585445347782586,-1.6655512697328227,5.397488225334086,8.778744096319503,15.17623232165359,"19291"
"Joe Musgrove","SDP","SP",103.4000015258789,176.935,-0.7741195412720464,1.0238833471982411,2.063411475786895,1.930211493985301,2.5538949656353043,-1.6655512697328227,5.131730471600871,8.778744096319503,14.910474567920376,"12970"
"Jhoan Duran","MIN","RP",53.400001525878906,66,4.2396229351017745,2.301061569019763,-1.5681290009551654,0.5903677088349202,-2.3962344867203584,3.747779470476012,6.914468195756945,4.45688385552075,12.371352051277695,"21029"
"Grayson Rodriguez","BAL","SP",999,165.699,1.5014641612055395,-0.021554792182772377,2.311648928525602,-1.8226719587634228,2.232868271818619,-1.6655512697328227,2.536203340870742,8.778744096319503,12.314947437190249,"24492"
"Jesus Luzardo","MIA","SP",77.12999725341797,180.777,0.16244839205447403,-1.1191182873233707,3.3781042782901993,-1.2394533476161564,2.6307763232573538,-1.6655512697328227,2.1472060889296767,8.778744096319503,11.92595018524918,"19959"
"Shota Imanaga",,"SP",225.47000122070312,147.744,-0.6744034997384953,0.32211544078170223,0.9959509322001502,1.5914183711680199,1.5349804147082762,-1.6655512697328227,2.10451038938683,8.778744096319503,11.883254485706336,"sa3023346"
"Shane Baz","TBR","SP",189.92999267578125,116.79,0.3955048066919056,1.3382588480172741,0.0354365601442694,0.7383827108865664,0.518261163176871,-1.5496108936464421,1.4762331952704448,8.778744096319503,11.25497729158995,"22264"
"Yu Darvish","SDP","SP",214.8699951171875,175.039,-3.7751877776223184,0.6469164949573009,2.153239729733517,1.6975517558253557,2.1689757689540046,-1.6655512697328227,1.2259447021150367,8.778744096319503,11.00468879843454,"13074"
"Pete Fairbanks","TBR","RP",100,66,2.9016258228531155,2.1320242601551453,-1.6297255931791548,0.14198890854227503,-2.3962344867203584,4.331271940636662,5.480950852287684,4.45688385552075,10.937834707808436,"17998"
"Mason Miller","OAK","RP",215.92999267578125,68,3.0871592066508087,2.76320118516032,-1.4515057817605908,0.5383345354889404,-2.3962344867203584,2.8790839475233225,5.420038606342444,4.45688385552075,10.876922461863195,"31757"
"Andres Munoz","SEA","RP",88.93000030517578,64,3.245516710106717,2.014283564596692,-1.845184972189555,0.19762416703851837,-2.3962344867203584,3.742219715084089,4.958224697916102,4.45688385552075,10.415108553436852,"20373"
"Shane Bieber","CLE","SP",183.92999267578125,192.768,-1.6665576414438539,-2.2870152708744578,2.355571356420285,0.530603974719604,3.0457630355245495,-1.6655512697328227,0.31281418461330446,8.778744096319503,10.091558280932809,"19427"
"Max Scherzer","TEX","SP",275.2699890136719,93.8391,-1.4417067255765657,1.612606071755894,-0.9492834321042792,2.3278777116045446,0.032105861033053434,-1.6655512697328227,-0.0839517830201759,8.778744096319503,9.694792313299327,"3137"
"Justin Steele","CHC","SP",102.33000183105469,181.11,0.6865930721693105,-2.2545134750702114,2.019282347918306,-1.7975978365011471,2.6988483825470717,-1.6655512697328227,-0.31293877866949293,8.778744096319503,9.465805317650013,"17312"
"Emmanuel Clase","CLE","RP",50.93000030517578,66,2.2956531305639647,0.9820731594532036,-2.5462401894201814,0.6954931974403311,-2.3962344867203584,4.653334845722801,3.684079657039761,4.45688385552075,9.14096351256051,"21032"
"Nick Lodolo","CIN","SP",243.8000030517578,120.037,-0.2746708829430508,-0.3614255535226566,0.5770378879503617,-0.2799523063496193,0.3939635178511912,-1.5588529159147984,-1.503900252928572,8.778744096319503,8.274843843390933,"26378"
"Raisel Iglesias","ATL","RP",57.130001068115234,66,0.6219454632265254,1.005741792130904,-2.1809993606877565,1.1557876866895456,-2.3962344867203584,4.445280817409126,2.651521912047986,4.45688385552075,8.108405767568737,"17130"
"Bailey Ober","MIN","SP",156.6699981689453,155.312,-4.4088075389505414,-0.4542276929132038,1.0209938847711886,2.311334956953561,1.3169337932982277,-1.6655512697328227,-1.8793238665735916,8.778744096319503,7.899420229745914,"21224"
"Clayton Kershaw",,"SP",459.1300048828125,91.2153,0.6261864136315175,0.012716865535199668,-1.5631721512624512,0.48414864485888154,0.11370814462813517,-1.6655512697328227,-1.9919633523415403,8.778744096319503,7.786780743977963,"2036"
"Justin Verlander","HOU","SP",122.7300033569336,177.773,-4.579361821639869,-0.6853013815868161,1.739331589628975,0.8160091326800613,2.231455205540976,-1.6655512697328227,-2.1434185451094963,8.778744096319503,7.63532555121001,"8700"
"Ryan Pressly","HOU","RP",86.52999877929688,64,1.3538386092265586,0.6241464110344478,-2.3869590985407116,0.616696117019894,-2.3962344867203584,4.293076407752845,2.1045639597726744,4.45688385552075,7.561447815293424,"7005"
"Adbert Alzolay","CHC","RP",127.87000274658203,67,0.5352760656953317,0.8739181702747656,-2.3374245030424126,0.8228320903070151,-2.3962344867203584,4.468385905357386,1.9667532418717273,4.45688385552075,7.4236370973924775,"17859"
"Ryan Helsley","STL","RP",96.2699966430664,65,2.066119062189446,0.9159244055993161,-1.821194280472939,-1.1063741421870434,-2.3962344867203584,4.305693932777147,1.9639344911855678,4.45688385552075,7.420818346706318,"18138"
"Jordan Montgomery",,"SP",133.8699951171875,188.04,-1.9097917871539474,-2.7938213134527996,1.88627420611065,-0.6110592589512104,2.6286114185503324,-1.6655512697328227,-2.4653380046297975,8.778744096319503,7.313406091689707,"16511"
