Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mSO,PTS,aPOS,Dollars,PlayerId
"Liam Hendriks","CHW","RP",32.43000030517578,67.8775,-3.507897908465336,7.416712252752279,4.227751469096024,4.913107716474927,-2.8635419228354544,10.186131607022437,6.126448073082172,17.31257968010461,"3548"
"Josh Hader","MIL","RP",33.220001220703125,64.9722,-4.2850787014631955,8.152679241608809,4.828153525646977,3.9851056478799487,-2.537366041436099,10.14349367223644,6.126448073082172,17.26994174531861,"14212"
"Sandy Alcantara","MIA","SP",42.150001525878906,191.422,3.124117235383746,-1.5017901580503095,1.5170611860262255,0.5401173441873525,2.3056201244654506,5.985125732012465,9.9078506423059,16.892976374318366,"18684"
"Joe Musgrove","SDP","SP",77.87000274658203,178.241,2.501945091403012,-1.5017901580503095,1.0177580832314042,0.7679869299715139,3.053812488264559,5.839712434820179,9.9078506423059,16.74756307712608,"12970"
"Kevin Gausman","TOR","SP",71.19000244140625,178.431,2.6090028370672322,-1.5017901580503095,-0.4951179920024462,1.321100249724841,3.19159187508624,5.124786811825558,9.9078506423059,16.032637454131457,"14107"
"Charlie Morton","ATL","SP",95.16000366210938,162.857,2.753777731137956,-1.5017901580503095,0.8728920218840329,0.7551795522274112,2.1674697836046946,5.047528930803785,9.9078506423059,15.955379573109687,"4676"
"Julio Urias","LAD","SP",37.869998931884766,170.944,4.402441072388968,-1.4772718114182448,0.3374463384878387,0.19113603653020766,1.5732586295678432,5.027010265556613,9.9078506423059,15.934860907862515,"14765"
"Lance Lynn","CHW","SP",65.87000274658203,180.306,3.100773897314757,-1.5017901580503095,-0.4622555872362585,-0.10592103886879112,3.0053119164718747,4.036119029631271,9.9078506423059,14.943969671937174,"2520"
"Justin Verlander",,"SP",104.54000091552734,136.278,0.7482540531076701,-1.5017901580503095,0.10748966063795516,3.8764294040748757,0.633881894241868,3.864264854012059,9.9078506423059,14.77211549631796,"8700"
"Frankie Montas","OAK","SP",91.5199966430664,177.587,2.7065286826689534,-1.5017901580503095,0.6806867877426928,-0.964264586400342,2.801474102414195,3.7226348283751896,9.9078506423059,14.63048547068109,"14309"
"Jack Flaherty","STL","SP",74.66999816894531,159.794,2.5356590016995675,-1.5017901580503095,-0.2729996015165258,0.9942595209303525,1.6092554754984425,3.364384238561527,9.9078506423059,14.272234880867428,"17479"
"Carlos Rodon",,"SP",127.1500015258789,128.902,0.5534608932601971,-1.5017901580503095,1.0958331323789854,1.3028170121778055,0.8842901747578162,2.3346110545244945,9.9078506423059,13.242461696830395,"16137"
"Yu Darvish","SDP","SP",99.56999969482422,170.044,1.7306287845932937,-1.5017901580503095,-2.9643475896269034,1.8820450199124255,2.8913966037577814,2.037932660586288,9.9078506423059,12.945783302892188,"13074"
